cpu-cores-available,cpu-cores-utilized,cpu-manufacturer,cpu-model-name,cpu-tdp,gpu-count,gpu-model-name,Hardware Information on AWS Documentation & Comments,instance-class,instance-storage,memory-available,platform-memory,release-date,storage-drives
64,2,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.large,EBS-Only,8,256,December 2019,0
64,2,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.large.elasticsearch,EBS-Only,8,256,December 2019,0
64,1,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.medium,EBS-Only,4,256,December 2019,0
64,64,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.metal,EBS-Only,256,256,December 2019,0
64,4,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.xlarge,EBS-Only,16,256,December 2019,0
64,4,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.xlarge.elasticsearch,EBS-Only,16,256,December 2019,0
64,48,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6gd.12xlarge,2 x 1425 NVMe SSD,192,256,December 2019,2
64,64,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6gd.16xlarge,2 x 1900 NVMe SSD,256,256,December 2019,2
64,8,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6gd.2xlarge,1 x 474 NVMe SSD,32,256,December 2019,2
64,16,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6gd.4xlarge,1 x 950 NVMe SSD,64,256,December 2019,2
64,32,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6gd.8xlarge,1 x 1900 NVMe SSD,128,256,December 2019,2
64,2,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6gd.large,1 x 118 NVMe SSD,8,256,December 2019,2
64,1,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6gd.medium,1 x 59 NVMe SSD,4,256,December 2019,2
64,64,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6gd.metal,2 x 1900 NVMe SSD,256,256,December 2019,2
64,4,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6gd.xlarge,1 x 237 NVMe SSD,16,256,December 2019,2
128,48,Intel,Intel® Xeon® Platinum 8375C,300.00,N/A,N/A,3rd generation Intel Xeon Scalable processors,m6i.12xlarge,EBS-Only,192,512,August 2021,0
128,64,Intel,Intel® Xeon® Platinum 8375C,300.00,N/A,N/A,3rd generation Intel Xeon Scalable processors,m6i.16xlarge,EBS-Only,256,512,August 2021,0
128,96,Intel,Intel® Xeon® Platinum 8375C,300.00,N/A,N/A,3rd generation Intel Xeon Scalable processors,m6i.24xlarge,EBS-Only,384,512,August 2021,0
128,8,Intel,Intel® Xeon® Platinum 8375C,300.00,N/A,N/A,3rd generation Intel Xeon Scalable processors,m6i.2xlarge,EBS-Only,32,512,August 2021,0
128,128,Intel,Intel® Xeon® Platinum 8375C,300.00,N/A,N/A,3rd generation Intel Xeon Scalable processors,m6i.32xlarge,EBS-Only,512,512,August 2021,0
128,16,Intel,Intel® Xeon® Platinum 8375C,300.00,N/A,N/A,3rd generation Intel Xeon Scalable processors,m6i.4xlarge,EBS-Only,64,512,August 2021,0
128,32,Intel,Intel® Xeon® Platinum 8375C,300.00,N/A,N/A,3rd generation Intel Xeon Scalable processors,m6i.8xlarge,EBS-Only,128,512,August 2021,0
128,2,Intel,Intel® Xeon® Platinum 8375C,300.00,N/A,N/A,3rd generation Intel Xeon Scalable processors,m6i.large,EBS-Only,8,512,August 2021,0
128,4,Intel,Intel® Xeon® Platinum 8375C,300.00,N/A,N/A,3rd generation Intel Xeon Scalable processors,m6i.xlarge,EBS-Only,16,512,August 2021,0
12,12,Intel,Intel® Core i7-8700B,65.00,N/A,N/A,,mac1.metal,N/A,32,32,November 2020,0
