cpu-cores-available,cpu-cores-utilized,cpu-manufacturer,cpu-model-name,cpu-tdp,gpu-count,gpu-model-name,gpu-tdp,instance-class,memory-available
64.00,16,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E16s_v5,128.00
64.00,2,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz",270.00,,,,Standard_E2_v3,16.00
64.00,2,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E2_v4,16.00
64.00,2,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E2_v5,16.00
64.00,20,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz",270.00,,,,Standard_E20_v3,160.00
64.00,20,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E20_v4,160.00
64.00,20,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E20_v5,160.00
128.00,20,AMD,"AMD EPYC™ 7452,AMD EPYC™ 7763",280.00,,,,Standard_E20a_v4,160.00
128.00,20,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E20ads_v5,160.00
128.00,20,AMD,"AMD EPYC™ 7452,AMD EPYC™ 7763",280.00,,,,Standard_E20as_v4,160.00
128.00,20,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E20as_v5,160.00
64.00,20,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E20d_v4,160.00
64.00,20,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E20d_v5,160.00
64.00,20,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E20ds_v4,160.00
128.00,20,Ampere,Ampere® Altra®,180.00,,,,Standard_E20pds_v5,160.00
128.00,20,Ampere,Ampere® Altra®,180.00,,,,Standard_E20ps_v5,160.00
64.00,20,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz",270.00,,,,Standard_E20s_v3,160.00
64.00,20,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E20s_v4,160.00
64.00,20,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E20s_v5,160.00
128.00,2,AMD,"AMD EPYC™ 7452,AMD EPYC™ 7763",280.00,,,,Standard_E2a_v4,16.00
128.00,2,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E2ads_v5,16.00
128.00,2,AMD,"AMD EPYC™ 7452,AMD EPYC™ 7763",280.00,,,,Standard_E2as_v4,16.00
128.00,2,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E2as_v5,16.00
52.00,2,Intel,Intel® Xeon® Platinum 8272CL,205.00,,,,Standard_E2bs_v5,16.00
52.00,2,Intel,Intel® Xeon® Platinum 8272CL,205.00,,,,Standard_E2bs_v5,16.00
64.00,2,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E2d_v4,16.00
64.00,2,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E2d_v5,16.00
64.00,2,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E2ds_v4,16.00
128.00,2,Ampere,Ampere® Altra®,180.00,,,,Standard_E2pds_v5,16.00
128.00,2,Ampere,Ampere® Altra®,180.00,,,,Standard_E2ps_v5,16.00
64.00,2,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz",270.00,,,,Standard_E2s_v3,16.00
64.00,2,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E2s_v4,16.00
64.00,2,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E2s_v5,16.00
